scenario_id,timestamp,outage_line_count,disconnected_load_count
19,2024-09-01 03:00:00,3,3
19,2024-09-01 04:00:00,0,0
19,2024-09-01 05:00:00,0,0
20,2024-09-01 00:00:00,15,4
20,2024-09-01 01:00:00,1,0
20,2024-09-01 02:00:00,0,0
20,2024-09-01 03:00:00,3,3
20,2024-09-01 04:00:00,0,0
20,2024-09-01 05:00:00,0,0
21,2024-09-01 00:00:00,15,4
21,2024-09-01 01:00:00,1,0
21,2024-09-01 02:00:00,0,0
21,2024-09-01 03:00:00,3,3
21,2024-09-01 04:00:00,0,0
21,2024-09-01 05:00:00,0,0
22,2024-09-01 00:00:00,15,4
22,2024-09-01 01:00:00,1,0
22,2024-09-01 02:00:00,0,0
22,2024-09-01 03:00:00,3,3
22,2024-09-01 04:00:00,0,0
22,2024-09-01 05:00:00,0,0
23,2024-09-01 00:00:00,15,4
23,2024-09-01 01:00:00,1,0
23,2024-09-01 02:00:00,0,0
23,2024-09-01 03:00:00,2,2
23,2024-09-01 04:00:00,0,0
23,2024-09-01 05:00:00,0,0
24,2024-09-01 00:00:00,15,4
24,2024-09-01 01:00:00,1,0
24,2024-09-01 02:00:00,0,0
24,2024-09-01 03:00:00,3,3
24,2024-09-01 04:00:00,0,0
24,2024-09-01 05:00:00,0,0
25,2024-09-01 00:00:00,15,4
25,2024-09-01 01:00:00,1,0
25,2024-09-01 02:00:00,0,0
25,2024-09-01 03:00:00,3,3
25,2024-09-01 04:00:00,0,0
25,2024-09-01 05:00:00,0,0
26,2024-09-01 00:00:00,15,4
26,2024-09-01 01:00:00,2,0
26,2024-09-01 02:00:00,0,0
26,2024-09-01 03:00:00,2,2
26,2024-09-01 04:00:00,0,0
26,2024-09-01 05:00:00,0,0
27,2024-09-01 00:00:00,15,4
27,2024-09-01 01:00:00,1,0
27,2024-09-01 02:00:00,0,0
27,2024-09-01 03:00:00,3,3
27,2024-09-01 04:00:00,0,0
27,2024-09-01 05:00:00,0,0
28,2024-09-01 00:00:00,15,4
28,2024-09-01 01:00:00,1,0
28,2024-09-01 02:00:00,0,0
28,2024-09-01 03:00:00,3,3
28,2024-09-01 04:00:00,0,0
28,2024-09-01 05:00:00,0,0
29,2024-09-01 00:00:00,15,4
29,2024-09-01 01:00:00,2,0
29,2024-09-01 02:00:00,0,0
29,2024-09-01 03:00:00,2,2
29,2024-09-01 04:00:00,0,0
29,2024-09-01 05:00:00,0,0
30,2024-09-01 00:00:00,15,4
30,2024-09-01 01:00:00,1,0
30,2024-09-01 02:00:00,0,0
30,2024-09-01 03:00:00,2,2
30,2024-09-01 04:00:00,0,0
30,2024-09-01 05:00:00,0,0
31,2024-09-01 00:00:00,15,4
31,2024-09-01 01:00:00,2,0
31,2024-09-01 02:00:00,0,0
31,2024-09-01 03:00:00,3,3
31,2024-09-01 04:00:00,0,0
31,2024-09-01 05:00:00,0,0
32,2024-09-01 00:00:00,15,4
32,2024-09-01 01:00:00,1,0
32,2024-09-01 02:00:00,0,0
32,2024-09-01 03:00:00,3,3
32,2024-09-01 04:00:00,0,0
32,2024-09-01 05:00:00,0,0
33,2024-09-01 00:00:00,15,4
33,2024-09-01 01:00:00,1,0
33,2024-09-01 02:00:00,0,0
33,2024-09-01 03:00:00,2,2
33,2024-09-01 04:00:00,0,0
33,2024-09-01 05:00:00,0,0
34,2024-09-01 00:00:00,15,4
34,2024-09-01 01:00:00,1,0
34,2024-09-01 02:00:00,0,0
34,2024-09-01 03:00:00,2,2
34,2024-09-01 04:00:00,0,0
34,2024-09-01 05:00:00,0,0
35,2024-09-01 00:00:00,15,4
35,2024-09-01 01:00:00,1,0
35,2024-09-01 02:00:00,0,0
35,2024-09-01 03:00:00,3,3
35,2024-09-01 04:00:00,0,0
35,2024-09-01 05:00:00,0,0
36,2024-09-01 00:00:00,15,4
36,2024-09-01 01:00:00,2,0
36,2024-09-01 02:00:00,0,0
36,2024-09-01 03:00:00,3,3
36,2024-09-01 04:00:00,0,0
36,2024-09-01 05:00:00,0,0
37,2024-09-01 00:00:00,15,4
37,2024-09-01 01:00:00,1,0
37,2024-09-01 02:00:00,0,0
37,2024-09-01 03:00:00,3,3
37,2024-09-01 04:00:00,0,0
37,2024-09-01 05:00:00,0,0
38,2024-09-01 00:00:00,15,4
38,2024-09-01 01:00:00,1,0
38,2024-09-01 02:00:00,0,0
38,2024-09-01 03:00:00,2,2
38,2024-09-01 04:00:00,0,0
38,2024-09-01 05:00:00,0,0
39,2024-09-01 00:00:00,15,4
39,2024-09-01 01:00:00,1,0
39,2024-09-01 02:00:00,0,0
39,2024-09-01 03:00:00,2,2
39,2024-09-01 04:00:00,0,0
39,2024-09-01 05:00:00,0,0
40,2024-09-01 00:00:00,15,4
40,2024-09-01 01:00:00,1,0
40,2024-09-01 02:00:00,0,0
40,2024-09-01 03:00:00,2,2
40,2024-09-01 04:00:00,0,0
40,2024-09-01 05:00:00,0,0
41,2024-09-01 00:00:00,15,4
41,2024-09-01 01:00:00,1,0
41,2024-09-01 02:00:00,0,0
41,2024-09-01 03:00:00,2,2
41,2024-09-01 04:00:00,0,0
41,2024-09-01 05:00:00,0,0
42,2024-09-01 00:00:00,15,4
42,2024-09-01 01:00:00,1,0
42,2024-09-01 02:00:00,0,0
42,2024-09-01 03:00:00,3,3
42,2024-09-01 04:00:00,0,0
42,2024-09-01 05:00:00,0,0
43,2024-09-01 00:00:00,15,4
43,2024-09-01 01:00:00,1,0
43,2024-09-01 02:00:00,0,0
43,2024-09-01 03:00:00,3,3
43,2024-09-01 04:00:00,0,0
43,2024-09-01 05:00:00,0,0
44,2024-09-01 00:00:00,15,4
44,2024-09-01 01:00:00,1,0
44,2024-09-01 02:00:00,0,0
44,2024-09-01 03:00:00,3,3
44,2024-09-01 04:00:00,0,0
44,2024-09-01 05:00:00,0,0
45,2024-09-01 00:00:00,15,4
45,2024-09-01 01:00:00,2,0
45,2024-09-01 02:00:00,0,0
45,2024-09-01 03:00:00,3,3
45,2024-09-01 04:00:00,0,0
45,2024-09-01 05:00:00,0,0
46,2024-09-01 00:00:00,15,4
46,2024-09-01 01:00:00,2,0
46,2024-09-01 02:00:00,0,0
46,2024-09-01 03:00:00,2,2
46,2024-09-01 04:00:00,0,0
46,2024-09-01 05:00:00,0,0
47,2024-09-01 00:00:00,15,4
47,2024-09-01 01:00:00,1,0
47,2024-09-01 02:00:00,0,0
47,2024-09-01 03:00:00,3,3
47,2024-09-01 04:00:00,0,0
47,2024-09-01 05:00:00,0,0
48,2024-09-01 00:00:00,15,4
48,2024-09-01 01:00:00,1,0
48,2024-09-01 02:00:00,0,0
48,2024-09-01 03:00:00,3,3
48,2024-09-01 04:00:00,0,0
48,2024-09-01 05:00:00,0,0
49,2024-09-01 00:00:00,15,4
49,2024-09-01 01:00:00,2,0
49,2024-09-01 02:00:00,0,0
49,2024-09-01 03:00:00,3,3
49,2024-09-01 04:00:00,0,0
49,2024-09-01 05:00:00,0,0
50,2024-09-01 00:00:00,15,4
50,2024-09-01 01:00:00,1,0
50,2024-09-01 02:00:00,0,0
50,2024-09-01 03:00:00,3,3
50,2024-09-01 04:00:00,0,0
50,2024-09-01 05:00:00,0,0
51,2024-09-01 00:00:00,15,4
51,2024-09-01 01:00:00,1,0
51,2024-09-01 02:00:00,0,0
51,2024-09-01 03:00:00,3,3
51,2024-09-01 04:00:00,0,0
51,2024-09-01 05:00:00,0,0
