category,severity,timestamp,entity,rule,value,threshold,detail
load,critical,2024-09-01 12:00:00,bus:10,shed<=demand,0.0773435216360214,0.0644529346966845,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:10,served>=0,-0.0128905869393369,0.0,Negative served load.
load,critical,2024-09-01 12:00:00,bus:11,shed<=demand,0.0773435216360214,0.0644529346966845,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:11,served>=0,-0.0128905869393369,0.0,Negative served load.
load,critical,2024-09-01 12:00:00,bus:12,shed<=demand,0.0773435216360214,0.0644529346966845,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:12,served>=0,-0.0128905869393369,0.0,Negative served load.
load,critical,2024-09-01 12:00:00,bus:13,shed<=demand,0.0773435216360214,0.0644529346966845,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:13,served>=0,-0.0128905869393369,0.0,Negative served load.
load,critical,2024-09-01 12:00:00,bus:14,shed<=demand,0.0773435216360214,0.0644529346966845,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:14,served>=0,-0.0128905869393369,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:6,shed<=demand,0.1050588951819613,0.0875490793183011,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:6,served>=0,-0.0175098158636602,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:7,shed<=demand,0.1050588951819613,0.0875490793183011,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:7,served>=0,-0.0175098158636602,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:8,shed<=demand,0.1050588951819613,0.0875490793183011,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:8,served>=0,-0.0175098158636602,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:9,shed<=demand,0.1050588951819613,0.0875490793183011,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:9,served>=0,-0.0175098158636602,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:10,shed<=demand,0.0750420679871152,0.0625350566559294,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:10,served>=0,-0.0125070113311858,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:11,shed<=demand,0.0750420679871152,0.0625350566559294,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:11,served>=0,-0.0125070113311858,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:12,shed<=demand,0.0750420679871152,0.0625350566559294,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:12,served>=0,-0.0125070113311858,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:13,shed<=demand,0.0750420679871152,0.0625350566559294,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:13,served>=0,-0.0125070113311858,0.0,Negative served load.
load,critical,2024-09-01 13:00:00,bus:14,shed<=demand,0.0750420679871152,0.0625350566559294,Load shedding exceeds demand.
load,critical,2024-09-01 13:00:00,bus:14,served>=0,-0.0125070113311858,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:6,shed<=demand,0.1056634414834392,0.088052867902866,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:6,served>=0,-0.0176105735805732,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:7,shed<=demand,0.1056634414834392,0.088052867902866,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:7,served>=0,-0.0176105735805732,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:8,shed<=demand,0.1056634414834392,0.088052867902866,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:8,served>=0,-0.0176105735805732,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:9,shed<=demand,0.1056634414834392,0.088052867902866,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:9,served>=0,-0.0176105735805732,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:10,shed<=demand,0.0754738867738851,0.0628949056449043,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:10,served>=0,-0.0125789811289808,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:11,shed<=demand,0.0754738867738851,0.0628949056449043,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:11,served>=0,-0.0125789811289808,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:12,shed<=demand,0.0754738867738851,0.0628949056449043,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:12,served>=0,-0.0125789811289808,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:13,shed<=demand,0.0754738867738851,0.0628949056449043,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:13,served>=0,-0.0125789811289808,0.0,Negative served load.
load,critical,2024-09-01 14:00:00,bus:14,shed<=demand,0.0754738867738851,0.0628949056449043,Load shedding exceeds demand.
load,critical,2024-09-01 14:00:00,bus:14,served>=0,-0.0125789811289808,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:4,shed<=demand,0.1592543316820142,0.1398428452200633,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:4,served>=0,-0.0194114864619509,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:6,shed<=demand,0.1067890818044119,0.0889909015036766,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:6,served>=0,-0.0177981803007353,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:7,shed<=demand,0.1067890818044119,0.0889909015036766,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:7,served>=0,-0.0177981803007353,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:8,shed<=demand,0.1067890818044119,0.0889909015036766,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:8,served>=0,-0.0177981803007353,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:9,shed<=demand,0.1067890818044119,0.0889909015036766,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:9,served>=0,-0.0177981803007353,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:10,shed<=demand,0.0762779155745799,0.0635649296454833,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:10,served>=0,-0.0127129859290966,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:11,shed<=demand,0.0762779155745799,0.0635649296454833,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:11,served>=0,-0.0127129859290966,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:12,shed<=demand,0.0762779155745799,0.0635649296454833,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:12,served>=0,-0.0127129859290966,0.0,Negative served load.
load,critical,2024-09-01 15:00:00,bus:13,shed<=demand,0.0762779155745799,0.0635649296454833,Load shedding exceeds demand.
load,critical,2024-09-01 15:00:00,bus:13,served>=0,-0.0127129859290966,0.0,Negative served load.
