timestamp,line_id,from_bus,to_bus,flow_mw,limit_mw,loading,overload_flag,selected_strategy,static_risk_prob,static_risk_level,predicted_fail_hour,hourly_risk_prob,effective_risk_prob,flow_abs_mw,stress_score,high_risk_flag,near_overload_flag,action_priority,recommended_action,critical_line_flag
2024-09-01 09:00:00,L3,4,5,0.0568543026682429,3.4362151709492705,0.0165456177334019,0,Robust_UC,0.685386,MEDIUM,5,0.6743962534503214,0.6743962534503214,0.0568543026682429,0.3115009407814208,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 09:00:00,L13,11,4,0.0452272475605024,3.4367309773767003,0.0131599615617935,0,Robust_UC,0.68506,MEDIUM,5,0.6718559732218464,0.6718559732218464,0.0452272475605024,0.3087094942529908,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 09:00:00,L8,10,11,0.0372508513664726,3.4354288034816856,0.0108431446254162,0,Robust_UC,0.685883,HIGH,5,0.6732182180673179,0.6732182180673179,0.0372508513664726,0.3082032592497825,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 09:00:00,L2,3,4,0.0516351903382563,3.4391438755418253,0.0150139663261751,0,Robust_UC,0.683535,MEDIUM,5,0.6645262160312513,0.6645262160312513,0.0516351903382563,0.30628712027429505,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 09:00:00,L7,9,10,0.0053452665903535,3.43507280211306,0.0015560853869139,0,Robust_UC,0.686108,HIGH,5,0.6731095457539644,0.6731095457539644,0.0053452665903535,0.3036534086602919,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 09:00:00,L6,8,9,-0.0185839219917358,3.436276877853165,0.0054081561679471,0,Robust_UC,0.685347,MEDIUM,5,0.6653137724854167,0.6653137724854167,0.0185839219917358,0.3020036764336764,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 09:00:00,L5,7,8,0.0003319379605538,3.4351471668433957,9.662990970453804e-05,0,Robust_UC,0.686061,HIGH,5,0.6688102502968983,0.6688102502968983,0.0003319379605538,0.3010113585168199,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 09:00:00,L9,3,8,-0.0176042531873388,3.4387340784108305,0.0051193994027809,0,Robust_UC,0.683794,MEDIUM,5,0.3936685237523232,0.3936685237523232,0.0176042531873388,0.179345694760597,False,False,low,monitor,False
2024-09-01 09:00:00,L1,2,3,0.0240390723814272,3.440684965910896,0.0069867112565079,0,Robust_UC,0.682561,LOW,-,0.24596538076212,0.24596538076212,0.0240390723814272,0.11347346810162816,False,False,low,monitor,False
2024-09-01 09:00:00,L14,14,8,0.0,4.6258728538101295,0.0,0,Robust_UC,0.683151,LOW,-,0.1913301776971946,0.1913301776971946,0.0,0.08609857996373757,False,False,low,monitor,False
2024-09-01 09:00:00,L0,1,2,0.0240390723814272,3.442276687585725,0.00698348057497,0,Robust_UC,0.681555,LOW,-,0.1264130703539819,0.1264130703539819,0.0240390723814272,0.05950666050477922,False,False,low,monitor,False
2024-09-01 09:00:00,L11,13,14,0.0,4.63655878779627,0.0,0,Robust_UC,0.678129,LOW,-,0.1168521058820074,0.1168521058820074,0.0,0.05258344764690333,False,False,low,monitor,False
2024-09-01 09:00:00,L10,12,13,0.0,4.652438741069581,0.0,0,Robust_UC,0.670666,LOW,-,0.1079310687614581,0.1079310687614581,0.0,0.048568980942656145,False,False,low,monitor,False
2024-09-01 10:00:00,L4,5,6,-0.0814519418423437,3.4335886719629705,0.0237221023320122,0,Robust_UC,0.687046,HIGH,6,0.6789864601007783,0.6789864601007783,0.0814519418423437,0.3170680401192668,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 10:00:00,L12,6,7,-0.0574311633801741,3.43300324749012,0.0167291316785564,0,Robust_UC,0.687416,HIGH,6,0.6749843814083883,0.6749843814083883,0.0574311633801741,0.3118565482407795,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 10:00:00,L3,4,5,0.060188851242553,3.4362151709492705,0.0175160309375869,0,Robust_UC,0.685386,MEDIUM,5,0.6705696415923545,0.6705696415923545,0.060188851242553,0.3102360932623026,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 10:00:00,L8,10,11,0.0408875374911962,3.4354288034816856,0.0119017275077155,0,Robust_UC,0.685883,HIGH,5,0.6710016646970366,0.6710016646970366,0.0408875374911962,0.3077135695354564,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 10:00:00,L13,11,4,0.0488944636452527,3.4367309773767003,0.0142270267783876,0,Robust_UC,0.68506,MEDIUM,5,0.6674989696715288,0.6674989696715288,0.0488944636452527,0.3072533008678362,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 10:00:00,L7,9,10,0.0088598328749701,3.43507280211306,0.002579227103868,0,Robust_UC,0.686108,HIGH,5,0.6678355168864243,0.6678355168864243,0.0088598328749701,0.3017732119784606,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 10:00:00,L5,7,8,-0.0047866344442537,3.4351471668433957,0.0013934292220301,0,Robust_UC,0.686061,HIGH,5,0.4122634976401481,0.4122634976401481,0.0047866344442537,0.1861211661667348,False,False,low,monitor,False
2024-09-01 10:00:00,L2,3,4,0.0490857988190995,3.4391438755418253,0.0142726796538473,0,Robust_UC,0.683535,MEDIUM,5,0.3023334603989961,0.3023334603989961,0.0490857988190995,0.1419085167841776,False,False,low,monitor,False
2024-09-01 10:00:00,L6,8,9,-0.0151609455871994,3.436276877853165,0.0044120267737771,0,Robust_UC,0.685347,MEDIUM,5,0.2346170829521918,0.2346170829521918,0.0151609455871994,0.10732892406962241,False,False,low,monitor,False
2024-09-01 10:00:00,L9,3,8,-0.0343950896051197,3.4387340784108305,0.0100022533934973,0,Robust_UC,0.683794,MEDIUM,5,0.1263806953059531,0.1263806953059531,0.0343950896051197,0.06062491992310226,False,False,low,monitor,False
2024-09-01 10:00:00,L1,2,3,0.0143384284529375,3.440684965910896,0.0041673180180684,0,Robust_UC,0.682561,LOW,-,0.1230896096975857,0.1230896096975857,0.0143384284529375,0.05695147637990346,False,False,low,monitor,False
2024-09-01 10:00:00,L0,1,2,0.0143384284529375,3.442276687585725,0.0041653910345579,0,Robust_UC,0.681555,LOW,-,0.1205157767482394,0.1205157767482394,0.0143384284529375,0.05579038546600097,False,False,low,monitor,False
2024-09-01 10:00:00,L14,14,8,0.0,4.6258728538101295,0.0,0,Robust_UC,0.683151,LOW,-,0.1222489127715261,0.1222489127715261,0.0,0.05501201074718674,False,False,low,monitor,False
